,GEN,RS,hp_download_successful,wp_download_successful,reason
54,Grafschaft Bentheim,03456,1,1,0
55,Leer,03457,1,1,0
56,Oldenburg,03458,1,1,0
57,Osnabrück,03459,1,1,0
58,Vechta,03460,1,1,0
59,Wesermarsch,03461,1,1,0
60,Wittmund,03462,1,1,0
61,Bremen,04011,1,1,0
62,Bremerhaven,04012,1,1,0
63,Düsseldorf,05111,1,1,0
64,Duisburg,05112,1,1,0
65,Essen,05113,1,1,0
66,Krefeld,05114,1,1,0
67,Mönchengladbach,05116,1,1,0
68,Mülheim an der Ruhr,05117,1,1,0
69,Oberhausen,05119,1,1,0
70,Remscheid,05120,1,1,0
71,Solingen,05122,1,1,0
72,Wuppertal,05124,1,1,0
73,Kleve,05154,1,1,0
74,Mettmann,05158,1,1,0
75,Rhein-Kreis Neuss,05162,1,1,0
76,Viersen,05166,1,1,0
77,Wesel,05170,1,1,0
78,Bonn,05314,1,1,0
79,Köln,05315,1,1,0
80,Leverkusen,05316,1,1,0
81,Städteregion Aachen,05334,1,1,0
82,Düren,05358,1,1,0
83,Rhein-Erft-Kreis,05362,1,1,0
84,Euskirchen,05366,1,1,0
85,Heinsberg,05370,1,1,0
86,Oberbergischer Kreis,05374,1,1,0
87,Rheinisch-Bergischer Kreis,05378,1,1,0
88,Rhein-Sieg-Kreis,05382,1,1,0
89,Bottrop,05512,1,1,0
90,Gelsenkirchen,05513,1,1,0
91,Münster,05515,1,1,0
92,Borken,05554,1,1,0
93,Coesfeld,05558,1,1,0
94,Recklinghausen,05562,1,1,0
95,Steinfurt,05566,1,1,0
96,Warendorf,05570,1,1,0
97,Bielefeld,05711,1,1,0
98,Gütersloh,05754,1,1,0
99,Herford,05758,1,1,0
100,Höxter,05762,1,1,0
101,Lippe,05766,1,1,0
102,Minden-Lübbecke,05770,1,1,0
103,Paderborn,05774,1,1,0
104,Bochum,05911,1,1,0
105,Dortmund,05913,1,1,0
106,Hagen,05914,1,1,0
107,Hamm,05915,1,1,0
108,Herne,05916,1,1,0
109,Ennepe-Ruhr-Kreis,05954,1,1,0
110,Hochsauerlandkreis,05958,1,1,0
111,Märkischer Kreis,05962,1,1,0
112,Olpe,05966,1,1,0
113,Siegen-Wittgenstein,05970,1,1,0
114,Soest,05974,1,1,0
115,Unna,05978,1,1,0
116,Darmstadt,06411,1,1,0
117,Frankfurt am Main,06412,1,1,0
118,Offenbach am Main,06413,1,1,0
119,Wiesbaden,06414,1,1,0
120,Bergstraße,06431,1,1,0
121,Darmstadt-Dieburg,06432,1,1,0
122,Groß-Gerau,06433,1,1,0
123,Hochtaunuskreis,06434,1,1,0
124,Main-Kinzig-Kreis,06435,1,1,0
125,Main-Taunus-Kreis,06436,1,1,0
126,Odenwaldkreis,06437,1,1,0
127,Offenbach,06438,1,1,0
128,Rheingau-Taunus-Kreis,06439,1,1,0
129,Wetteraukreis,06440,1,1,0
130,Gießen,06531,1,1,0
131,Lahn-Dill-Kreis,06532,1,1,0
132,Limburg-Weilburg,06533,1,1,0
133,Marburg-Biedenkopf,06534,1,1,0
134,Vogelsbergkreis,06535,1,1,0
135,Kassel,06611,1,1,0
136,Fulda,06631,1,1,0
137,Hersfeld-Rotenburg,06632,1,1,0
138,Kassel,06633,1,1,0
139,Schwalm-Eder-Kreis,06634,1,1,0
140,Waldeck-Frankenberg,06635,1,1,0
141,Werra-Meißner-Kreis,06636,1,1,0
142,Koblenz,07111,1,1,0
143,Ahrweiler,07131,1,1,0
144,Altenkirchen (Westerwald),07132,1,1,0
145,Bad Kreuznach,07133,1,1,0
146,Birkenfeld,07134,1,1,0
147,Cochem-Zell,07135,1,1,0
148,Mayen-Koblenz,07137,1,1,0
149,Neuwied,07138,1,1,0
150,Rhein-Hunsrück-Kreis,07140,1,1,0
151,Rhein-Lahn-Kreis,07141,1,1,0
152,Westerwaldkreis,07143,1,1,0
153,Trier,07211,1,1,0
154,Bernkastel-Wittlich,07231,1,1,0
155,Eifelkreis Bitburg-Prüm,07232,1,1,0
156,Vulkaneifel,07233,1,1,0
157,Trier-Saarburg,07235,1,1,0
158,Frankenthal (Pfalz),07311,1,1,0
159,Kaiserslautern,07312,1,1,0
160,Landau in der Pfalz,07313,1,1,0
161,Ludwigshafen am Rhein,07314,1,1,0
162,Mainz,07315,1,1,0
163,Neustadt an der Weinstraße,07316,1,1,0
164,Pirmasens,07317,1,1,0
165,Speyer,07318,1,1,0
166,Worms,07319,1,1,0
167,Zweibrücken,07320,1,1,0
168,Alzey-Worms,07331,1,1,0
169,Bad Dürkheim,07332,1,1,0
170,Donnersbergkreis,07333,1,1,0
171,Germersheim,07334,1,1,0
172,Kaiserslautern,07335,1,1,0
173,Kusel,07336,1,1,0
174,Südliche Weinstraße,07337,1,1,0
175,Rhein-Pfalz-Kreis,07338,1,1,0
176,Mainz-Bingen,07339,1,1,0
177,Südwestpfalz,07340,1,0,0
178,Stuttgart,08111,1,1,0
179,Böblingen,08115,1,1,0
180,Esslingen,08116,1,1,0
181,Göppingen,08117,1,1,0
182,Ludwigsburg,08118,1,1,0
183,Rems-Murr-Kreis,08119,1,1,0
184,Heilbronn,08121,1,1,0
185,Heilbronn,08125,1,1,0
186,Hohenlohekreis,08126,1,1,0
187,Schwäbisch Hall,08127,1,1,0
188,Main-Tauber-Kreis,08128,1,1,0
189,Heidenheim,08135,1,1,0
190,Ostalbkreis,08136,1,1,0
191,Baden-Baden,08211,1,1,0
192,Karlsruhe,08212,1,1,0
193,Karlsruhe,08215,1,1,0
194,Rastatt,08216,1,1,0
195,Heidelberg,08221,1,1,0
196,Mannheim,08222,1,1,0
197,Neckar-Odenwald-Kreis,08225,1,1,0
198,Rhein-Neckar-Kreis,08226,1,1,0
199,Pforzheim,08231,1,1,0
200,Calw,08235,1,1,0
201,Enzkreis,08236,1,1,0
202,Freudenstadt,08237,1,1,0
203,Freiburg im Breisgau,08311,1,1,0
204,Breisgau-Hochschwarzwald,08315,1,1,0
205,Emmendingen,08316,1,1,0
206,Ortenaukreis,08317,1,1,0
207,Rottweil,08325,1,1,0
208,Schwarzwald-Baar-Kreis,08326,1,1,0
209,Tuttlingen,08327,1,1,0
210,Konstanz,08335,1,1,0
211,Lörrach,08336,1,1,0
212,Waldshut,08337,1,1,0
213,Reutlingen,08415,1,1,0
214,Tübingen,08416,1,1,0
215,Zollernalbkreis,08417,1,1,0
216,Ulm,08421,1,1,0
217,Alb-Donau-Kreis,08425,1,1,0
218,Biberach,08426,1,1,0
219,Bodenseekreis,08435,1,1,0
220,Ravensburg,08436,1,1,0
221,Sigmaringen,08437,1,1,0
222,Ingolstadt,09161,1,1,0
223,München,09162,1,1,0
224,Rosenheim,09163,1,1,0
225,Altötting,09171,1,1,0
226,Berchtesgadener Land,09172,1,1,0
227,Bad Tölz-Wolfratshausen,09173,1,1,0
228,Dachau,09174,1,1,0
229,Ebersberg,09175,1,1,0
230,Eichstätt,09176,1,1,0
231,Erding,09177,1,1,0
232,Freising,09178,1,1,0
233,Fürstenfeldbruck,09179,1,1,0
234,Garmisch-Partenkirchen,09180,1,1,0
235,Landsberg am Lech,09181,1,1,0
236,Miesbach,09182,1,1,0
237,Mühldorf a. Inn,09183,1,1,0
238,München,09184,1,1,0
239,Neuburg-Schrobenhausen,09185,1,1,0
240,Pfaffenhofen a.d. Ilm,09186,1,1,0
241,Rosenheim,09187,1,1,0
242,Starnberg,09188,1,1,0
243,Traunstein,09189,1,1,0
244,Weilheim-Schongau,09190,1,1,0
245,Landshut,09261,1,1,0
246,Passau,09262,1,1,0
247,Straubing,09263,1,1,0
248,Deggendorf,09271,1,1,0
249,Freyung-Grafenau,09272,1,1,0
250,Kelheim,09273,1,1,0
251,Landshut,09274,1,1,0
252,Passau,09275,1,1,0
253,Regen,09276,1,1,0
254,Rottal-Inn,09277,1,1,0
255,Straubing-Bogen,09278,1,1,0
256,Dingolfing-Landau,09279,1,1,0
257,Amberg,09361,1,1,0
258,Regensburg,09362,1,1,0
259,Weiden i.d. OPf.,09363,1,1,0
260,Amberg-Sulzbach,09371,1,1,0
261,Cham,09372,1,1,0
262,Neumarkt i.d. OPf.,09373,1,1,0
263,Neustadt a.d. Waldnaab,09374,1,1,0
264,Regensburg,09375,1,1,0
265,Schwandorf,09376,1,1,0
266,Tirschenreuth,09377,1,1,0
267,Bamberg,09461,1,1,0
268,Bayreuth,09462,1,1,0
269,Coburg,09463,1,1,0
270,Hof,09464,1,1,0
271,Bamberg,09471,1,1,0
272,Bayreuth,09472,1,1,0
273,Coburg,09473,1,1,0
274,Forchheim,09474,1,1,0
275,Hof,09475,1,1,0
276,Kronach,09476,1,1,0
277,Kulmbach,09477,1,1,0
278,Lichtenfels,09478,1,1,0
279,Wunsiedel i. Fichtelgebirge,09479,1,1,0
280,Ansbach,09561,1,1,0
281,Erlangen,09562,1,1,0
282,Fürth,09563,1,1,0
283,Nürnberg,09564,1,1,0
284,Schwabach,09565,1,1,0
285,Ansbach,09571,1,1,0
286,Erlangen-Höchstadt,09572,1,1,0
287,Fürth,09573,1,1,0
288,Nürnberger Land,09574,1,1,0
289,Neustadt a.d. Aisch-Bad Windsheim,09575,1,1,0
290,Roth,09576,1,1,0
291,Weißenburg-Gunzenhausen,09577,1,1,0
292,Aschaffenburg,09661,1,1,0
293,Schweinfurt,09662,1,1,0
294,Würzburg,09663,1,1,0
295,Aschaffenburg,09671,1,1,0
296,Bad Kissingen,09672,1,1,0
297,Rhön-Grabfeld,09673,1,1,0
298,Haßberge,09674,1,1,0
299,Kitzingen,09675,1,1,0
300,Miltenberg,09676,1,1,0
301,Main-Spessart,09677,1,1,0
302,Schweinfurt,09678,1,1,0
303,Würzburg,09679,1,1,0
304,Augsburg,09761,1,1,0
305,Kaufbeuren,09762,1,1,0
306,Kempten (Allgäu),09763,1,1,0
307,Memmingen,09764,1,1,0
308,Aichach-Friedberg,09771,1,1,0
309,Augsburg,09772,1,1,0
310,Dillingen a.d. Donau,09773,1,1,0
311,Günzburg,09774,1,1,0
312,Neu-Ulm,09775,1,1,0
313,Lindau (Bodensee),09776,1,1,0
314,Ostallgäu,09777,1,1,0
315,Unterallgäu,09778,1,1,0
316,Donau-Ries,09779,1,1,0
317,Oberallgäu,09780,1,1,0
318,Regionalverband Saarbrücken,10041,1,1,0
319,Merzig-Wadern,10042,1,1,0
320,Neunkirchen,10043,1,1,0
321,Saarlouis,10044,1,1,0
322,Saarpfalz-Kreis,10045,1,1,0
323,St. Wendel,10046,1,1,0
324,Berlin,11000,1,1,0
325,Brandenburg an der Havel,12051,1,1,0
326,Cottbus,12052,1,1,0
327,Frankfurt (Oder),12053,1,1,0
328,Potsdam,12054,1,1,0
329,Barnim,12060,1,1,0
330,Dahme-Spreewald,12061,1,1,0
331,Elbe-Elster,12062,1,1,0
332,Havelland,12063,1,1,0
333,Märkisch-Oderland,12064,1,1,0
334,Oberhavel,12065,1,1,0
335,Oberspreewald-Lausitz,12066,1,1,0
336,Oder-Spree,12067,1,1,0
337,Ostprignitz-Ruppin,12068,1,1,0
338,Potsdam-Mittelmark,12069,1,1,0
339,Prignitz,12070,1,1,0
340,Spree-Neiße,12071,1,1,0
341,Teltow-Fläming,12072,1,1,0
342,Uckermark,12073,1,1,0
343,Rostock,13003,1,1,0
344,Schwerin,13004,1,1,0
345,Mecklenburgische Seenplatte,13071,1,1,0
346,Rostock,13072,1,1,0
347,Vorpommern-Rügen,13073,1,1,0
348,Nordwestmecklenburg,13074,1,1,0
349,Vorpommern-Greifswald,13075,1,1,0
350,Ludwigslust-Parchim,13076,1,1,0
351,Chemnitz,14511,1,1,0
352,Erzgebirgskreis,14521,1,1,0
353,Mittelsachsen,14522,1,1,0
354,Vogtlandkreis,14523,1,1,0
355,Zwickau,14524,1,1,0
356,Dresden,14612,1,1,0
357,Bautzen,14625,1,1,0
358,Görlitz,14626,1,1,0
359,Meißen,14627,1,1,0
360,Sächsische Schweiz-Osterzgebirge,14628,1,1,0
361,Leipzig,14713,1,1,0
362,Leipzig,14729,1,1,0
363,Nordsachsen,14730,1,1,0
364,Dessau-Roßlau,15001,1,1,0
365,Halle (Saale),15002,1,1,0
366,Magdeburg,15003,1,1,0
367,Altmarkkreis Salzwedel,15081,1,1,0
368,Anhalt-Bitterfeld,15082,1,1,0
369,Börde,15083,1,1,0
370,Burgenlandkreis,15084,1,1,0
371,Harz,15085,1,1,0
372,Jerichower Land,15086,1,1,0
373,Mansfeld-Südharz,15087,1,1,0
374,Saalekreis,15088,1,1,0
375,Salzlandkreis,15089,1,1,0
376,Stendal,15090,1,1,0
377,Wittenberg,15091,1,1,0
378,Erfurt,16051,1,1,0
379,Gera,16052,1,1,0
380,Jena,16053,1,1,0
381,Suhl,16054,1,1,0
382,Weimar,16055,1,1,0
383,Eisenach,16056,1,1,0
384,Eichsfeld,16061,1,1,0
385,Nordhausen,16062,1,1,0
386,Wartburgkreis,16063,1,1,0
387,Unstrut-Hainich-Kreis,16064,1,1,0
388,Kyffhäuserkreis,16065,1,1,0
389,Schmalkalden-Meiningen,16066,1,1,0
390,Gotha,16067,1,1,0
391,Sömmerda,16068,1,1,0
392,Hildburghausen,16069,1,1,0
393,Ilm-Kreis,16070,1,1,0
394,Weimarer Land,16071,1,1,0
395,Sonneberg,16072,1,1,0
396,Saalfeld-Rudolstadt,16073,1,1,0
397,Saale-Holzland-Kreis,16074,1,1,0
398,Saale-Orla-Kreis,16075,1,1,0
399,Greiz,16076,1,1,0
400,Altenburger Land,16077,1,1,0
401,Flensburg,01001,1,1,0
402,Kiel,01002,1,1,0
403,Dithmarschen,01051,1,1,0
404,Dithmarschen,01051,1,1,0
405,Nordfriesland,01054,1,1,0
406,Ostholstein,01055,1,1,0
407,Pinneberg,01056,1,1,0
408,Pinneberg,01056,1,1,0
409,Plön,01057,1,1,0
410,Rendsburg-Eckernförde,01058,1,1,0
411,Schleswig-Flensburg,01059,1,1,0
412,Steinburg,01061,1,1,0
413,Hamburg,02000,1,1,0
414,Cuxhaven,03352,1,1,0
415,Stade,03359,1,1,0
416,Emden,03402,1,1,0
417,Wilhelmshaven,03405,1,1,0
418,Aurich,03452,1,1,0
419,Friesland,03455,1,1,0
420,Leer,03457,1,1,0
421,Leer,03457,1,1,0
422,Wittmund,03462,1,1,0
423,Bremen,04011,1,1,0
424,Bremerhaven,04012,1,1,0
425,Konstanz,08335,1,1,0
426,Rostock,13003,1,1,0
427,Rostock,13072,1,1,0
428,Vorpommern-Rügen,13073,1,1,0
429,Nordwestmecklenburg,13074,1,1,0
430,Vorpommern-Greifswald,13075,1,1,0
